Patient ID,Patient Name,Age,Address,Phone No,Gender,Email,Password,Past surgeries,Current diseases,Current medications,Current BP (mmHg),Current BMI,Current WBC,Current RBC
P202201,Dhananjay Mane,52,Dange Chowk Pune,8965320152,Male,dhananjay8@gmail.com,dhananjay01,Cesarean section.,Chlamydia. Cholera.,"Norfloxacin, trimethoprim-sulfamethoxazole (TMP-SMX), and ciprofloxacin",20.1,7000,2.3,4
P202202,Ganu Seth,63,Khadewali Chowk Pune,6352102458,Male,ganu.seth@gmail.com,ganu02,Organ replacement.,Congenital Rubella Syndrome. Coronavirus Disease 2019 (COVID-19),acetaminophen,22.4,7800,3.4,5.2
P202203,Rama Pawar,72,Karvenagar Pune,9632587962,Female,ramapawar@gmail.com,rama03,Joint replacement.,Creutzfeldt-Jakob Disease.,Paracetamol,23.4,5800,3.4,4.1
P202204,Prakash Patil,40,Kothrud Pune,8456123451,Male,prakashpatil@gmail.com,prakash04,Full hysterectomy.,Cytomegalovirus,Benznidazole,22.7,8900,1,5.6
P202205,Ashwini Kumble,26,Deccan Pune,7758963222,Female,ashwinik@gmail.com,ashwini05,Heart surgeries.,Acute myeloid leukaemia,AML Treatments,20.4,9000,3,4
P202206,Soumitra Wagh,17,Malad Mumbai,8569301254,Male,soumitrawagh@gmail.com,soumitra06,"Bariatric surgeries, including the gastric bypass.",Cat Scratch Disease.,oseltamivir,23.5,11000,4,4.9
P202207,Firoz Khan,34,FC Road Pune,7855596320,Male,firozkhan@gmail.com,firoz07,Appendectomy. ...,Chagas Disease (American trypanosomiasis),"Clarithromycin,Rifampin ,Trimethoprim-sulfamethoxazole.",18.5,4600,1,5
P202208,Lopez Albert,62,Kharadi Pune,9687546321,Male,Lopezalbert@gmail.com,lopez08,Breast biopsy. ...,Chickenpox (Varicella and Shingles),Benznidazole,19.8,8000,2.6,5.7
P202209,Atharva Kalamkar,13,Magarpatta Pune,7589632514,Male,atharvak@gmail.com,atharva09,Carotid endarterectomy. ...,Chikungunya.,"acyclovir (Zovirax, Sitavig)",18.9,9000,-3,4.8
P202210,Dhruv Patil,20,Yerwada Pune,6325698751,Male,dhruv.patil@gmail.com,dhruv10,Cataract surgery. ...,Paralysis,acetaminophen (Tylenol®),19.4,10000,-4,4
P202102,Mayuri Jain,20,15 Subhash nagar Pune,9630215478,Female,mayuri.jain@gmail.com,mayuri02
